algoritmo,tempo_ms,n,execucao,cenario
counting,53.082,1000000,1,aleatorio
counting,34.727,1000000,2,aleatorio
counting,38.314,1000000,3,aleatorio
counting,39.651,1000000,4,aleatorio
counting,34.826,1000000,5,aleatorio
counting,59.934,1000000,6,aleatorio
counting,36.992,1000000,7,aleatorio
counting,38.374,1000000,8,aleatorio
counting,29.265,1000000,9,aleatorio
counting,33.416,1000000,10,aleatorio
radix,313.964,1000000,1,aleatorio
radix,355.452,1000000,2,aleatorio
radix,355.286,1000000,3,aleatorio
radix,355.286,1000000,4,aleatorio
radix,355.705,1000000,5,aleatorio
radix,356.488,1000000,6,aleatorio
radix,314.477,1000000,7,aleatorio
radix,313.933,1000000,8,aleatorio
radix,354.667,1000000,9,aleatorio
radix,355.904,1000000,10,aleatorio
bucket,740.890,1000000,1,aleatorio
bucket,579.100,1000000,2,aleatorio
bucket,646.208,1000000,3,aleatorio
bucket,658.486,1000000,4,aleatorio
bucket,558.746,1000000,5,aleatorio
bucket,613.861,1000000,6,aleatorio
bucket,613.949,1000000,7,aleatorio
bucket,657.149,1000000,8,aleatorio
bucket,667.972,1000000,9,aleatorio
bucket,639.800,1000000,10,aleatorio
